Date,Time,"Rain (S-RGB 21038161:21038325-1),mm,Stanley Bridge Harbour","Average Wind Speed (S-WCF 21038161:21038468-1),Km/h,Stanley Bridge Harbour","Wind Gust Speed (S-WCF 21038161:21038468-2),Km/h,Stanley Bridge Harbour","Wind Direction (S-WCF 21038161:21038468-3),°,Stanley Bridge Harbour","Solar Radiation (S-LIB 21038161:21109516-1),W/m²,Stanley Bridge Harbour","Battery (RX3000 BATTERY 21038161:21038161-B),V,Stanley Bridge Harbour","Barometric Pressure (M-BP 21038161:20735209-1),kPa,Stanley Bridge Harbour","Water Pressure (M-WP01 21038161:21411213-1),kPa,Stanley Bridge Harbour","Diff Pressure (M-DP01 21038161:21411213-2),kPa,Stanley Bridge Harbour","Water Temperature (M-WT 21038161:21411213-3),°C,Stanley Bridge Harbour","Water Level (M-WL01 21038161:21411213-4),meters,Stanley Bridge Harbour","Accumulated Rain (C-ACC-RAIN 21038161:21038325-2),mm,Stanley Bridge Harbour,Stanley Bridge","Temperature (S-TMB 21038161:21098957-1),°C,Stanley Bridge Harbour","Average Wind Speed (S-WCF 21038161:21038468-1),Km/h,Stanley Bridge Harbour","Wind Gust Speed (S-WCF 21038161:21038468-2),Km/h,Stanley Bridge Harbour","Wind Speed (S-WCF 21038161:21038468-1),m/s,Stanley Bridge Harbour","Gust Speed (S-WCF 21038161:21038468-2),m/s,Stanley Bridge Harbour","Water Flow (M-WF-VNW 21038161:21411213-5),l/s,Stanley Bridge Harbour"
11/01/2023,04:24:00 -0300,0,,,220,1,,,,,,,,1.45,,,,,
11/01/2023,04:26:00 -0300,0,,,220,1,4.176,,,,,,,1.48,,,,,
11/01/2023,04:28:00 -0300,0,,,215,1,,,,,,,,1.45,,,,,
11/01/2023,04:30:00 -0300,0,,,216,1,,,,,,,,1.51,,,,,
11/01/2023,04:31:00 -0300,,,,,,4.19,,,,,,,,,,,,
11/01/2023,04:32:00 -0300,0,,,213,1,,,,,,,,1.48,,,,,
11/01/2023,04:34:00 -0300,0,,,225,1,,,,,,,,1.59,,,,,
11/01/2023,04:36:00 -0300,0,,,219,1,4.196,,,,,,,1.59,,,,,
11/01/2023,04:38:00 -0300,0,,,199,1,,,,,,,,1.45,,,,,
11/01/2023,04:40:00 -0300,0,,,160,1,,,,,,,,1.1,,,,,
11/01/2023,04:41:00 -0300,,,,,,4.176,,,,,,,,,,,,
11/01/2023,04:42:00 -0300,0,,,149,1,,,,,,,,0.77,,,,,
11/01/2023,04:44:00 -0300,0,,,150,1,,,,,,,,0.6,,,,,
11/01/2023,04:46:00 -0300,0,,,152,1,4.19,,,,,,,0.63,,,,,
11/01/2023,04:48:00 -0300,0,,,153,1,,,,,,,,0.69,,,,,
11/01/2023,04:50:00 -0300,0,,,166,1,,,,,,,,0.66,,,,,
11/01/2023,04:51:00 -0300,,,,,,4.194,,,,,,,,,,,,
11/01/2023,04:52:00 -0300,0,,,164,1,,,,,,,,0.66,,,,,
11/01/2023,04:54:00 -0300,0,,,157,1,,,,,,,,0.66,,,,,
11/01/2023,04:56:00 -0300,0,,,150,1,4.169,,,,,,,0.63,,,,,
11/01/2023,04:58:00 -0300,0,,,150,1,,,,,,,,0.66,,,,,
11/01/2023,05:00:00 -0300,0,,,150,1,,,,,,,,0.69,,,,,
11/01/2023,05:01:00 -0300,,,,,,4.188,,,,,,,,,,,,
11/01/2023,05:02:00 -0300,0,,,154,1,,,,,,,,0.71,,,,,
11/01/2023,05:04:00 -0300,0,,,157,1,,,,,,,,0.69,,,,,
11/01/2023,05:06:00 -0300,0,,,166,1,4.193,,,,,,,0.69,,,,,
11/01/2023,05:08:00 -0300,0,,,185,1,,,,,,,,0.77,,,,,
11/01/2023,05:10:00 -0300,0,,,192,1,,,,,,,,0.93,,,,,
11/01/2023,05:11:00 -0300,,,,,,4.172,,,,,,,,,,,,
11/01/2023,05:12:00 -0300,0,,,190,1,,,,,,,,1.02,,,,,
11/01/2023,05:14:00 -0300,0,,,183,1,,,,,,,,1.1,,,,,
11/01/2023,05:16:00 -0300,0,,,184,1,4.188,,,,,,,1.15,,,,,
11/01/2023,05:18:00 -0300,0,,,178,1,,,,,,,,1.21,,,,,
